"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","110","DELETE /users/{id} with valid id returns 200","Regression Suite","Tue May 26 01:25:48 UTC 2026","passed","Tue May 26 01:25:48 UTC 2026","com.vinoth.automation.tests.users.DeleteUserTests","User API Tests","com.vinoth.automation.tests.users.DeleteUserTests","deleteUser_withValidId_returns200"
"","97","GET /posts returns 200 with non-empty list","Regression Suite","Tue May 26 01:25:50 UTC 2026","passed","Tue May 26 01:25:50 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getAllPosts_returns200"
"","317","GET /users/1 response matches consumer schema contract","Contract Suite","Tue May 26 01:25:43 UTC 2026","passed","Tue May 26 01:25:44 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","getUser_responseMatchesSchemaContract"
"","43","getUser_withBoundaryId_returns4xx","Regression Suite","Tue May 26 01:25:49 UTC 2026","passed","Tue May 26 01:25:49 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","39","getUser_withBoundaryId_returns4xx","Regression Suite","Tue May 26 01:25:49 UTC 2026","passed","Tue May 26 01:25:49 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","34","getPost_withBoundaryId_returns4xx","Regression Suite","Tue May 26 01:25:50 UTC 2026","passed","Tue May 26 01:25:50 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","41","DELETE /users/1 contract returns 200","Contract Suite","Tue May 26 01:25:43 UTC 2026","passed","Tue May 26 01:25:43 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","deleteUser_contractReturns200"
"","37","getPost_withBoundaryId_returns4xx","Regression Suite","Tue May 26 01:25:50 UTC 2026","passed","Tue May 26 01:25:50 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","43","getUser_nonExistentId_returns404","Regression Suite","Tue May 26 01:25:49 UTC 2026","passed","Tue May 26 01:25:49 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_nonExistentId_returns404"
"","26","GET /posts returns list contract","Contract Suite","Tue May 26 01:25:44 UTC 2026","passed","Tue May 26 01:25:44 UTC 2026","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getAllPosts_contractReturnsList"
"","109","DELETE /users/{id} response has json content type","Regression Suite","Tue May 26 01:25:48 UTC 2026","passed","Tue May 26 01:25:48 UTC 2026","com.vinoth.automation.tests.users.DeleteUserTests","User API Tests","com.vinoth.automation.tests.users.DeleteUserTests","deleteUser_responseHasJsonContentType"
"","23","GET /users/99999 contract returns 404","Contract Suite","Tue May 26 01:25:43 UTC 2026","passed","Tue May 26 01:25:43 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","getUser_nonExistent_contractReturns404"
"","258","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","Tue May 26 01:25:47 UTC 2026","passed","Tue May 26 01:25:48 UTC 2026","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","updateUser_withValidPayload_returns200"
"","129","PUT /users/{id} updates email correctly","Regression Suite","Tue May 26 01:25:48 UTC 2026","passed","Tue May 26 01:25:48 UTC 2026","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_emailField_isUpdated"
