"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","733","GET /users/{id} for multiple IDs returns correct data","Regression Suite","Sat Mar 14 22:31:10 UTC 2026","passed","Sat Mar 14 22:31:10 UTC 2026","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getMultipleUsers_eachReturns200"
"","199","createUser_nullName_apiRespondsWithinSla","Negative Suite","Sat Mar 14 22:31:13 UTC 2026","passed","Sat Mar 14 22:31:13 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","createUser_nullName_apiRespondsWithinSla"
"","76","POST /users with minimal payload (name only) returns 201","Regression Suite","Sat Mar 14 22:31:11 UTC 2026","passed","Sat Mar 14 22:31:11 UTC 2026","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","createUser_withMinimalPayload_returns201"
"","195","getUser_withBoundaryId_returns4xx","Negative Suite","Sat Mar 14 22:31:14 UTC 2026","passed","Sat Mar 14 22:31:14 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","93","GET /posts/{id} returns correct post for id=1","Regression Suite","Sat Mar 14 22:31:13 UTC 2026","passed","Sat Mar 14 22:31:13 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getPostById_returnsExpectedPost"
"","240","PUT /users/{id} with random data returns 200","Regression Suite","Sat Mar 14 22:31:12 UTC 2026","passed","Sat Mar 14 22:31:12 UTC 2026","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_withRandomPayload_returns200"
"","575","createUser_emptyName_apiRespondsWithinSla","Negative Suite","Sat Mar 14 22:31:12 UTC 2026","passed","Sat Mar 14 22:31:13 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","createUser_emptyName_apiRespondsWithinSla"
"","208","deleteUser_nonExistentId_respondsWithinSla","Negative Suite","Sat Mar 14 22:31:13 UTC 2026","passed","Sat Mar 14 22:31:13 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","deleteUser_nonExistentId_respondsWithinSla"
"","1803","GET /users/99999 returns 404 for non-existent user","Negative Suite","Sat Mar 14 22:31:11 UTC 2026","passed","Sat Mar 14 22:31:12 UTC 2026","com.vinoth.automation.tests.users.GetUserTests","Negative Tests","com.vinoth.automation.tests.users.GetUserTests","getUserById_nonExistent_returns404"
"","106","getUser_withBoundaryId_returns4xx","Negative Suite","Sat Mar 14 22:31:13 UTC 2026","passed","Sat Mar 14 22:31:14 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","195","getPost_withBoundaryId_returns4xx","Negative Suite","Sat Mar 14 22:31:15 UTC 2026","passed","Sat Mar 14 22:31:15 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Negative Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","127","deletePost_nonExistentId_respondsWithinSla","Negative Suite","Sat Mar 14 22:31:14 UTC 2026","passed","Sat Mar 14 22:31:14 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Negative Tests","com.vinoth.automation.tests.posts.PostNegativeTests","deletePost_nonExistentId_respondsWithinSla"
"","96","getUser_nonExistentId_returns404","Negative Suite","Sat Mar 14 22:31:13 UTC 2026","passed","Sat Mar 14 22:31:13 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_nonExistentId_returns404"
"","98","getUser_withBoundaryId_returns4xx","Negative Suite","Sat Mar 14 22:31:14 UTC 2026","passed","Sat Mar 14 22:31:14 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","56","DELETE /users/{id} with valid id returns 200","Regression Suite","Sat Mar 14 22:31:12 UTC 2026","passed","Sat Mar 14 22:31:12 UTC 2026","com.vinoth.automation.tests.users.DeleteUserTests","User API Tests","com.vinoth.automation.tests.users.DeleteUserTests","deleteUser_withValidId_returns200"
"","28","GET /posts returns list contract","Contract Suite","Sat Mar 14 22:31:16 UTC 2026","passed","Sat Mar 14 22:31:16 UTC 2026","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getAllPosts_contractReturnsList"
"","125","getPost_withBoundaryId_returns4xx","Negative Suite","Sat Mar 14 22:31:15 UTC 2026","passed","Sat Mar 14 22:31:15 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Negative Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","44","DELETE /users/1 contract returns 200","Contract Suite","Sat Mar 14 22:31:15 UTC 2026","passed","Sat Mar 14 22:31:15 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","deleteUser_contractReturns200"
"","79","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","Sat Mar 14 22:31:11 UTC 2026","passed","Sat Mar 14 22:31:11 UTC 2026","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","updateUser_withValidPayload_returns200"
