"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","330","GET /users/1 response matches consumer schema contract","Contract Suite","2026-09-09","passed","2026-09-09","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","getUser_responseMatchesSchemaContract"
"","98","deleteUser_nonExistentId_respondsWithinSla","Regression Suite","2026-09-09","passed","2026-09-09","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","deleteUser_nonExistentId_respondsWithinSla"
"","73","getPost_withBoundaryId_returns4xx","Regression Suite","2026-09-09","passed","2026-09-09","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","138","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","2026-09-09","passed","2026-09-09","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_withFullPayload_returns200"
"","675","GET /users/1 returns correct user with valid schema","Regression Suite","2026-09-09","passed","2026-09-09","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getUserById_returns200WithValidSchema"
"","106","DELETE /users/{id} with valid id returns 200","Regression Suite","2026-09-09","passed","2026-09-09","com.vinoth.automation.tests.users.DeleteUserTests","User API Tests","com.vinoth.automation.tests.users.DeleteUserTests","deleteUser_withValidId_returns200"
"","72","getUser_withBoundaryId_returns4xx","Regression Suite","2026-09-09","passed","2026-09-09","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","165","getUser_withBoundaryId_returns4xx","Regression Suite","2026-09-09","passed","2026-09-09","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","118","POST /posts creates a post — data-driven","Regression Suite","2026-09-09","passed","2026-09-09","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","createPost_withValidData_returns201"
"","159","getPostsByUserId_invalidUser_returnsEmptyOrError","Regression Suite","2026-09-09","passed","2026-09-09","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPostsByUserId_invalidUser_returnsEmptyOrError"
