"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48","DELETE /users/1 contract returns 200","Contract Suite","2026-08-24","passed","2026-08-24","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","deleteUser_contractReturns200"
"","60","getUser_nonExistentId_returns404","Negative Suite","2026-08-24","passed","2026-08-24","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_nonExistentId_returns404"
"","138","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","2026-08-24","passed","2026-08-24","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_withFullPayload_returns200"
"","184","POST /posts creates a post — data-driven","Regression Suite","2026-08-24","passed","2026-08-24","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","createPost_withValidData_returns201"
"","2537","POST /users contract returns 201 with id","Contract Suite","2026-08-24","passed","2026-08-24","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","createUser_contractReturns201WithId"
"","26","GET /posts returns list contract","Contract Suite","2026-08-24","passed","2026-08-24","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getAllPosts_contractReturnsList"
"","30","GET /users/99999 contract returns 404","Contract Suite","2026-08-24","passed","2026-08-24","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","getUser_nonExistent_contractReturns404"
"","258","getUser_withBoundaryId_returns4xx","Negative Suite","2026-08-24","passed","2026-08-24","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","277","getPostsByUserId_invalidUser_returnsEmptyOrError","Negative Suite","2026-08-24","passed","2026-08-24","com.vinoth.automation.tests.posts.PostNegativeTests","Negative Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPostsByUserId_invalidUser_returnsEmptyOrError"
"","132","POST /posts creates a post — data-driven","Regression Suite","2026-08-24","passed","2026-08-24","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","createPost_withValidData_returns201"
"","138","GET /posts returns 200 with non-empty list","Regression Suite","2026-08-24","passed","2026-08-24","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getAllPosts_returns200"
"","36","POST /posts contract returns 201 with id","Contract Suite","2026-08-24","passed","2026-08-24","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","createPost_contractReturns201"
"","108","deletePost_nonExistentId_respondsWithinSla","Regression Suite","2026-08-24","passed","2026-08-24","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","deletePost_nonExistentId_respondsWithinSla"
"","126","PUT /users/{id} updates email correctly","Regression Suite","2026-08-24","passed","2026-08-24","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_emailField_isUpdated"
"","159","DELETE /users/{id} response has json content type","Regression Suite","2026-08-24","passed","2026-08-24","com.vinoth.automation.tests.users.DeleteUserTests","User API Tests","com.vinoth.automation.tests.users.DeleteUserTests","deleteUser_responseHasJsonContentType"
"","516","createUser_emptyName_apiRespondsWithinSla","Negative Suite","2026-08-24","passed","2026-08-24","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","createUser_emptyName_apiRespondsWithinSla"
