"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","769","GET /users/1 returns correct user with valid schema","Regression Suite","2026-08-05","passed","2026-08-05","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getUserById_returns200WithValidSchema"
"","92","GET /posts returns 200 with non-empty list","Regression Suite","2026-08-05","passed","2026-08-05","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getAllPosts_returns200"
"","359","GET /users/1 response matches consumer schema contract","Contract Suite","2026-08-05","passed","2026-08-05","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","getUser_responseMatchesSchemaContract"
"","729","GET /users/{id} for multiple IDs returns correct data","Regression Suite","2026-08-05","passed","2026-08-05","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getMultipleUsers_eachReturns200"
"","106","DELETE /posts/{id} returns 200","Regression Suite","2026-08-05","passed","2026-08-05","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","deletePost_returns200"
"","264","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","2026-08-05","passed","2026-08-05","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","updateUser_withValidPayload_returns200"
"","43","getUser_nonExistentId_returns404","Regression Suite","2026-08-05","passed","2026-08-05","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_nonExistentId_returns404"
"","80","GET /posts?userId=1 filters posts by user","Regression Suite","2026-08-05","passed","2026-08-05","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getPostsByUserId_returnsOnlyUserPosts"
"","254","POST /users with full payload returns 201 with id assigned","Regression Suite","2026-08-05","passed","2026-08-05","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","createUser_withFullPayload_returns201AndAssignsId"
"","223","getPost_withBoundaryId_returns4xx","Regression Suite","2026-08-05","passed","2026-08-05","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
