"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","69","createUser_nullName_apiRespondsWithinSla","Regression Suite","2026-05-30","passed","2026-05-30","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","createUser_nullName_apiRespondsWithinSla"
"","92","POST /posts creates a post — data-driven","Regression Suite","2026-05-30","passed","2026-05-30","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","createPost_withValidData_returns201"
"","199","POST /users with full payload returns 201 with id assigned","Regression Suite","2026-05-30","passed","2026-05-30","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","createUser_withFullPayload_returns201AndAssignsId"
"","38","getPost_withBoundaryId_returns4xx","Regression Suite","2026-05-30","passed","2026-05-30","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","97","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","2026-05-30","passed","2026-05-30","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_withFullPayload_returns200"
"","330","GET /users/1 response matches consumer schema contract","Contract Suite","2026-05-30","passed","2026-05-30","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","getUser_responseMatchesSchemaContract"
"","819","GET /users/{id} for multiple IDs returns correct data","Regression Suite","2026-05-30","passed","2026-05-30","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getMultipleUsers_eachReturns200"
"","33","POST /posts contract returns 201 with id","Contract Suite","2026-05-30","passed","2026-05-30","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","createPost_contractReturns201"
"","68","deleteUser_nonExistentId_respondsWithinSla","Regression Suite","2026-05-30","passed","2026-05-30","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","deleteUser_nonExistentId_respondsWithinSla"
"","71","createUser_emptyName_apiRespondsWithinSla","Regression Suite","2026-05-30","passed","2026-05-30","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","createUser_emptyName_apiRespondsWithinSla"
