"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47","getUser_withBoundaryId_returns4xx","Regression Suite","2026-07-01","passed","2026-07-01","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","129","PUT /posts/{id} full update returns 200","Regression Suite","2026-07-01","passed","2026-07-01","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","updatePost_returns200WithUpdatedFields"
"","63","DELETE /users/{id} response has json content type","Regression Suite","2026-07-01","passed","2026-07-01","com.vinoth.automation.tests.users.DeleteUserTests","User API Tests","com.vinoth.automation.tests.users.DeleteUserTests","deleteUser_responseHasJsonContentType"
"","46","getPost_nonExistentId_returns404","Regression Suite","2026-07-01","passed","2026-07-01","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_nonExistentId_returns404"
"","86","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","2026-07-01","passed","2026-07-01","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","updateUser_withValidPayload_returns200"
"","762","GET /users/1 returns correct user with valid schema","Regression Suite","2026-07-01","passed","2026-07-01","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getUserById_returns200WithValidSchema"
"","41","getPost_withBoundaryId_returns4xx","Regression Suite","2026-07-01","passed","2026-07-01","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","67","deleteUser_nonExistentId_respondsWithinSla","Regression Suite","2026-07-01","passed","2026-07-01","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","deleteUser_nonExistentId_respondsWithinSla"
"","54","getUser_withBoundaryId_returns4xx","Regression Suite","2026-07-01","passed","2026-07-01","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","100","PUT /users/{id} updates email correctly","Regression Suite","2026-07-01","passed","2026-07-01","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_emailField_isUpdated"
"","70","DELETE /posts/{id} returns 200","Regression Suite","2026-07-01","passed","2026-07-01","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","deletePost_returns200"
"","83","POST /users with minimal payload (name only) returns 201","Regression Suite","2026-07-01","passed","2026-07-01","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","createUser_withMinimalPayload_returns201"
"","40","GET /posts returns list contract","Contract Suite","2026-07-01","passed","2026-07-01","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getAllPosts_contractReturnsList"
"","104","GET /posts returns 200 with non-empty list","Regression Suite","2026-07-01","passed","2026-07-01","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getAllPosts_returns200"
