"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","514","createUser_emptyName_apiRespondsWithinSla","Negative Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","createUser_emptyName_apiRespondsWithinSla"
"","85","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","updateUser_withValidPayload_returns200"
"","803","GET /users/{id} for multiple IDs returns correct data","Regression Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getMultipleUsers_eachReturns200"
"","104","PUT /users/{id} updates email correctly","Regression Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_emailField_isUpdated"
"","99","POST /posts creates a post — data-driven","Regression Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","createPost_withValidData_returns201"
"","3208","POST /users contract returns 201 with id","Contract Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","createUser_contractReturns201WithId"
"","68","getPost_withBoundaryId_returns4xx","Negative Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.posts.PostNegativeTests","Negative Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","201","POST /users with full payload returns 201 with id assigned","Regression Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","createUser_withFullPayload_returns201AndAssignsId"
"","250","getPost_nonExistentId_returns404","Negative Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.posts.PostNegativeTests","Negative Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_nonExistentId_returns404"
"","108","POST /posts creates a post — data-driven","Regression Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","createPost_withValidData_returns201"
"","25","GET /posts returns list contract","Contract Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getAllPosts_contractReturnsList"
"","21","GET /posts/99999 contract returns 404","Contract Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getPost_nonExistent_contractReturns404"
"","2659","GET /users returns 200 with non-empty list","Regression Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getAllUsers_returns200WithNonEmptyList"
"","23","GET /users/99999 contract returns 404","Contract Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","getUser_nonExistent_contractReturns404"
"","67","DELETE /posts/{id} returns 200","Regression Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","deletePost_returns200"
"","85","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_withFullPayload_returns200"
"","257","getUser_withBoundaryId_returns4xx","Negative Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","57","GET /posts/1 matches post schema contract","Contract Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getPost_responseMatchesSchemaContract"
"","803","GET /users/1 returns correct user with valid schema","Regression Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getUserById_returns200WithValidSchema"
"","146","GET /posts returns 200 with non-empty list","Regression Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getAllPosts_returns200"
"","137","createUser_nullName_apiRespondsWithinSla","Negative Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","createUser_nullName_apiRespondsWithinSla"
"","258","getPost_withBoundaryId_returns4xx","Negative Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.posts.PostNegativeTests","Negative Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","58","DELETE /users/{id} with valid id returns 200","Regression Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.DeleteUserTests","User API Tests","com.vinoth.automation.tests.users.DeleteUserTests","deleteUser_withValidId_returns200"
"","37","DELETE /users/1 contract returns 200","Contract Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","deleteUser_contractReturns200"
"","58","getUser_withBoundaryId_returns4xx","Negative Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","63","DELETE /users/{id} response has json content type","Regression Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.DeleteUserTests","User API Tests","com.vinoth.automation.tests.users.DeleteUserTests","deleteUser_responseHasJsonContentType"
"","240","getPost_withBoundaryId_returns4xx","Negative Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.posts.PostNegativeTests","Negative Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","267","PUT /users/{id} with random data returns 200","Regression Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_withRandomPayload_returns200"
"","32","POST /posts contract returns 201 with id","Contract Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","createPost_contractReturns201"
"","283","GET /users/1 response matches consumer schema contract","Contract Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","getUser_responseMatchesSchemaContract"
"","120","deletePost_nonExistentId_respondsWithinSla","Negative Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.posts.PostNegativeTests","Negative Tests","com.vinoth.automation.tests.posts.PostNegativeTests","deletePost_nonExistentId_respondsWithinSla"
"","125","deleteUser_nonExistentId_respondsWithinSla","Negative Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","deleteUser_nonExistentId_respondsWithinSla"
"","250","getPostsByUserId_invalidUser_returnsEmptyOrError","Negative Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.posts.PostNegativeTests","Negative Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPostsByUserId_invalidUser_returnsEmptyOrError"
"","47","getPost_withBoundaryId_returns4xx","Negative Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.posts.PostNegativeTests","Negative Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","88","POST /users with minimal payload (name only) returns 201","Regression Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","createUser_withMinimalPayload_returns201"
"","241","getUser_withBoundaryId_returns4xx","Negative Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","93","GET /posts?userId=1 filters posts by user","Regression Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getPostsByUserId_returnsOnlyUserPosts"
"","48","getUser_withBoundaryId_returns4xx","Negative Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","63","getUser_nonExistentId_returns404","Negative Suite","2026-08-13","passed","2026-08-13","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_nonExistentId_returns404"
