"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84","getUser_withBoundaryId_returns4xx","Regression Suite","Mon May 25 01:31:31 UTC 2026","passed","Mon May 25 01:31:32 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","3455","POST /users contract returns 201 with id","Contract Suite","Mon May 25 01:31:30 UTC 2026","passed","Mon May 25 01:31:33 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","createUser_contractReturns201WithId"
"","215","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","Mon May 25 01:31:30 UTC 2026","passed","Mon May 25 01:31:30 UTC 2026","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","updateUser_withValidPayload_returns200"
"","127","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","Mon May 25 01:31:30 UTC 2026","passed","Mon May 25 01:31:30 UTC 2026","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_withFullPayload_returns200"
"","42","DELETE /users/1 contract returns 200","Contract Suite","Mon May 25 01:31:33 UTC 2026","passed","Mon May 25 01:31:33 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","deleteUser_contractReturns200"
"","138","POST /users with minimal payload (name only) returns 201","Regression Suite","Mon May 25 01:31:29 UTC 2026","passed","Mon May 25 01:31:30 UTC 2026","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","createUser_withMinimalPayload_returns201"
"","83","getUser_withBoundaryId_returns4xx","Regression Suite","Mon May 25 01:31:31 UTC 2026","passed","Mon May 25 01:31:31 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","26","GET /posts returns list contract","Contract Suite","Mon May 25 01:31:34 UTC 2026","passed","Mon May 25 01:31:34 UTC 2026","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getAllPosts_contractReturnsList"
"","1014","GET /users/{id} for multiple IDs returns correct data","Regression Suite","Mon May 25 01:31:27 UTC 2026","passed","Mon May 25 01:31:28 UTC 2026","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getMultipleUsers_eachReturns200"
"","186","getUser_withBoundaryId_returns4xx","Regression Suite","Mon May 25 01:31:31 UTC 2026","passed","Mon May 25 01:31:31 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
