"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","379","GET /users/1 response matches consumer schema contract","Contract Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","getUser_responseMatchesSchemaContract"
"","115","deleteUser_nonExistentId_respondsWithinSla","Negative Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","deleteUser_nonExistentId_respondsWithinSla"
"","105","GET /posts/{id} returns correct post for id=1","Regression Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getPostById_returnsExpectedPost"
"","26","GET /posts/99999 contract returns 404","Contract Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getPost_nonExistent_contractReturns404"
"","3083","POST /users contract returns 201 with id","Contract Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","createUser_contractReturns201WithId"
"","148","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_withFullPayload_returns200"
"","227","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","updateUser_withValidPayload_returns200"
"","922","GET /users/{id} for multiple IDs returns correct data","Regression Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getMultipleUsers_eachReturns200"
"","118","GET /posts?userId=1 filters posts by user","Regression Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getPostsByUserId_returnsOnlyUserPosts"
"","203","POST /posts creates a post — data-driven","Regression Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","createPost_withValidData_returns201"
"","98","DELETE /users/{id} with valid id returns 200","Regression Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.users.DeleteUserTests","User API Tests","com.vinoth.automation.tests.users.DeleteUserTests","deleteUser_withValidId_returns200"
"","120","deletePost_nonExistentId_respondsWithinSla","Negative Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.posts.PostNegativeTests","Negative Tests","com.vinoth.automation.tests.posts.PostNegativeTests","deletePost_nonExistentId_respondsWithinSla"
"","62","GET /posts/1 matches post schema contract","Contract Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getPost_responseMatchesSchemaContract"
"","43","DELETE /users/1 contract returns 200","Contract Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","deleteUser_contractReturns200"
"","53","getUser_nonExistentId_returns404","Negative Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.users.UserNegativeTests","Negative Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_nonExistentId_returns404"
"","25","GET /users/99999 contract returns 404","Contract Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","getUser_nonExistent_contractReturns404"
"","196","PUT /posts/{id} full update returns 200","Regression Suite","2026-06-08","passed","2026-06-08","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","updatePost_returns200WithUpdatedFields"
